date,open,high,low,close,volume
2025-01-01 01:00:00,308.82,322.99,306.25,319.84,173943.897
2025-01-02 01:00:00,319.84,339.83,318.83,333.5,218282.592
2025-01-03 01:00:00,333.61,356.3,317.18,350.8,207955.403
2025-01-04 01:00:00,350.77,361.28,339.0,351.6,183545.155
2025-01-05 01:00:00,351.66,352.69,339.38,341.7,122069.21
2025-01-06 01:00:00,341.8,355.39,335.86,341.5,169723.77
2025-01-07 01:00:00,341.52,343.32,305.51,306.88,185392.375
2025-01-08 01:00:00,306.89,312.52,275.82,293.31,261567.743
2025-01-09 01:00:00,293.3,299.86,273.29,281.13,227904.151
2025-01-10 01:00:00,281.12,300.9,276.36,285.8,249623.204
2025-01-11 01:00:00,285.78,293.84,280.07,287.2,80313.229
2025-01-12 01:00:00,287.3,296.04,284.64,287.92,78375.505
2025-01-13 01:00:00,287.99,297.03,256.18,289.57,316087.272
2025-01-14 01:00:00,289.62,301.54,285.43,295.52,166640.496
2025-01-15 01:00:00,295.48,323.91,285.65,319.92,238759.852
2025-01-16 01:00:00,319.99,321.49,305.1,311.23,161303.479
2025-01-17 01:00:00,311.25,336.61,310.86,335.19,167317.241
2025-01-18 01:00:00,335.16,341.91,306.25,315.57,220504.431
2025-01-19 01:00:00,315.5,348.18,292.59,309.41,542806.161
2025-01-20 01:00:00,309.41,365.39,296.13,337.53,1016783.784
2025-01-21 01:00:00,337.48,378.49,327.09,370.8,684136.842
2025-01-22 01:00:00,370.71,372.4,345.22,346.65,233350.263
2025-01-23 01:00:00,346.64,350.44,324.31,337.41,275833.043
2025-01-24 01:00:00,337.41,357.56,327.81,334.97,239363.708
2025-01-25 01:00:00,334.98,338.6,326.05,326.42,113108.822
2025-01-26 01:00:00,326.45,336.27,315.79,316.56,111837.022
2025-01-27 01:00:00,316.52,320.56,288.09,305.07,321955.984
2025-01-28 01:00:00,305.07,307.82,280.84,284.16,181046.333
2025-01-29 01:00:00,284.14,301.96,282.55,290.99,216684.912
2025-01-30 01:00:00,291.0,322.42,286.89,315.44,174687.445
2025-01-31 01:00:00,315.49,349.23,312.56,332.71,335111.11
2025-02-01 01:00:00,332.68,333.54,295.0,296.06,167928.935
2025-02-02 01:00:00,296.07,304.77,245.24,258.44,366449.871
2025-02-03 01:00:00,258.45,284.98,192.63,276.45,1127436.263
2025-02-04 01:00:00,276.45,278.33,248.92,272.3,459215.108
2025-02-05 01:00:00,272.3,283.38,256.0,259.71,263653.719
2025-02-06 01:00:00,259.71,266.89,239.23,241.48,213477.233
2025-02-07 01:00:00,241.44,262.1,231.08,238.05,256448.607
2025-02-08 01:00:00,238.06,241.88,231.08,238.84,123643.099
2025-02-09 01:00:00,238.83,252.72,229.75,241.25,184420.314
2025-02-10 01:00:00,241.23,258.0,234.51,252.61,210743.803
2025-02-11 01:00:00,252.62,262.77,242.02,243.75,197653.672
2025-02-12 01:00:00,243.72,249.87,231.76,248.18,178271.787
