date,open,high,low,close,volume
2025-01-01 01:00:00,0.845,0.9355,0.838,0.9222,171861317.3000001
2025-01-02 01:00:00,0.9222,0.9828,0.9222,0.9612,194982188.50000012
2025-01-03 01:00:00,0.9612,1.1194,0.9569,1.0894,388427400.9000003
2025-01-04 01:00:00,1.0894,1.1144,1.0565,1.0707,168969002.59999993
2025-01-05 01:00:00,1.0707,1.115,1.0521,1.0911,171630835.30000022
2025-01-06 01:00:00,1.0911,1.1162,1.0575,1.0934,181395918.9000001
2025-01-07 01:00:00,1.0934,1.1519,0.988,0.9892,365562839.20000035
2025-01-08 01:00:00,0.9893,1.0242,0.9079,0.9468,369801375.90000004
2025-01-09 01:00:00,0.9467,0.9604,0.8798,0.9045,239358339.89999968
2025-01-10 01:00:00,0.9045,0.974,0.904,0.9303,208259628.29999995
2025-01-11 01:00:00,0.9303,1.0176,0.9134,0.9955,146491610.6
2025-01-12 01:00:00,0.9955,1.0369,0.9613,0.9677,196542136.0000001
2025-01-13 01:00:00,0.9676,0.9938,0.8758,0.9444,288677979.0999999
2025-01-14 01:00:00,0.9444,1.0109,0.938,0.9972,187168513.00000018
2025-01-15 01:00:00,0.9972,1.09,0.9879,1.0755,384217805.2999999
2025-01-16 01:00:00,1.0755,1.145,1.0273,1.0892,383249639.40000015
2025-01-17 01:00:00,1.0893,1.1662,1.0854,1.133,276530914.4000002
2025-01-18 01:00:00,1.1331,1.1466,1.0482,1.1045,256781980.9000001
2025-01-19 01:00:00,1.1044,1.152,0.9636,0.993,560820593.5999997
2025-01-20 01:00:00,0.993,1.1014,0.9594,1.0094,464297968.40000063
2025-01-21 01:00:00,1.0095,1.0288,0.9508,1.0058,303337850.1999999
2025-01-22 01:00:00,1.0059,1.0199,0.9759,0.9827,147886319.8000002
2025-01-23 01:00:00,0.9827,1.0118,0.9512,0.9867,192569354.5000002
2025-01-24 01:00:00,0.9867,1.01,0.9636,0.9712,124426928.30000004
2025-01-25 01:00:00,0.9712,0.9919,0.9642,0.9766,56721656.80000002
2025-01-26 01:00:00,0.9766,1.0003,0.9515,0.953,73197919.30000006
2025-01-27 01:00:00,0.953,0.9587,0.8568,0.9345,257950415.80000055
2025-01-28 01:00:00,0.9346,0.9684,0.9031,0.9169,124707222.90000011
2025-01-29 01:00:00,0.9168,0.9603,0.9018,0.9399,135142289.6999999
2025-01-30 01:00:00,0.9398,0.9886,0.9363,0.9595,86721138.90000013
2025-01-31 01:00:00,0.9595,0.9837,0.9347,0.9429,113818765.20000012
2025-02-01 01:00:00,0.9428,0.9576,0.8875,0.8948,88384785.80000003
2025-02-02 01:00:00,0.8947,0.9113,0.7513,0.8052,340523726.60000026
2025-02-03 01:00:00,0.8051,0.8245,0.506,0.812,1336951229.499999
2025-02-04 01:00:00,0.8121,0.8198,0.715,0.7439,336202720.79999995
2025-02-05 01:00:00,0.744,0.7764,0.7251,0.7325,174717874.2999998
2025-02-06 01:00:00,0.7325,0.766,0.6978,0.7052,187578647.3
2025-02-07 01:00:00,0.7052,0.7532,0.6902,0.7072,206190185.90000015
2025-02-08 01:00:00,0.7072,0.718,0.6815,0.7005,106440011.09999996
2025-02-09 01:00:00,0.7006,0.716,0.6503,0.6814,145972643.50000006
2025-02-10 01:00:00,0.6815,0.7245,0.6632,0.7121,168959610.30000007
2025-02-11 01:00:00,0.7121,0.8213,0.7101,0.7781,365383859.0
2025-02-12 01:00:00,0.7782,0.8006,0.7448,0.7858,248933013.10000092
