date,open,high,low,close,volume
2023-01-01 01:00:00,4.308,4.387,4.275,4.371,1341743.7
2023-01-02 01:00:00,4.371,4.56,4.316,4.492,3164787.56
2023-01-03 01:00:00,4.492,4.545,4.462,4.526,1964103.62
2023-01-04 01:00:00,4.526,4.689,4.526,4.632,3126367.78
2023-01-05 01:00:00,4.631,4.649,4.545,4.62,2923627.93
2023-01-06 01:00:00,4.621,4.706,4.552,4.684,3264757.81
2023-01-07 01:00:00,4.684,4.705,4.636,4.664,1594150.21
2023-01-08 01:00:00,4.665,4.828,4.602,4.826,3227517.66
2023-01-09 01:00:00,4.826,5.083,4.8,4.887,6257669.61
2023-01-10 01:00:00,4.886,4.97,4.823,4.92,2874898.27
2023-01-11 01:00:00,4.92,5.139,4.828,5.135,4492624.63
2023-01-12 01:00:00,5.134,5.263,5.015,5.232,5972215.45
2023-01-13 01:00:00,5.233,5.424,5.163,5.401,4812544.83
2023-01-14 01:00:00,5.401,6.523,5.396,6.026,15720921.50000001
2023-01-15 01:00:00,6.026,6.066,5.771,5.929,5959244.43000001
2023-01-16 01:00:00,5.928,6.087,5.61,5.812,7588428.70000001
2023-01-17 01:00:00,5.812,6.21,5.691,5.956,7799551.35999999
2023-01-18 01:00:00,5.957,6.221,5.564,5.653,9689343.04999999
2023-01-19 01:00:00,5.648,5.848,5.643,5.802,3346968.36
2023-01-20 01:00:00,5.802,6.295,5.752,6.247,5373230.43000001
2023-01-21 01:00:00,6.249,6.464,6.007,6.237,8330369.73
2023-01-22 01:00:00,6.237,6.457,6.085,6.207,5762744.72
2023-01-23 01:00:00,6.207,6.84,6.198,6.56,10282785.38
2023-01-24 01:00:00,6.56,6.708,6.117,6.191,6235582.39999999
2023-01-25 01:00:00,6.191,6.563,6.01,6.399,7441471.55
2023-01-26 01:00:00,6.4,6.563,6.301,6.472,6830192.66
2023-01-27 01:00:00,6.472,6.623,6.27,6.585,5365147.79000001
2023-01-28 01:00:00,6.585,6.664,6.321,6.397,3866647.74000001
2023-01-29 01:00:00,6.396,6.7,6.327,6.611,4745086.64999999
2023-01-30 01:00:00,6.612,6.65,6.02,6.19,5572642.89999999
2023-01-31 01:00:00,6.19,6.33,6.142,6.26,3778549.45
2023-02-01 01:00:00,6.26,6.491,6.027,6.467,5790692.06
2023-02-02 01:00:00,6.467,6.917,6.451,6.543,8407701.20999999
2023-02-03 01:00:00,6.543,7.126,6.504,7.008,10176943.45000001
2023-02-04 01:00:00,7.008,7.075,6.818,6.873,3786921.97
2023-02-05 01:00:00,6.872,6.895,6.513,6.637,5167240.50000001
2023-02-06 01:00:00,6.638,6.789,6.401,6.494,4695000.22
