date,open,high,low,close,volume
2025-01-01 01:00:00,6.642,7.141,6.52,7.051,4854650.19
2025-01-02 01:00:00,7.052,7.36,7.051,7.177,5662998.77
2025-01-03 01:00:00,7.179,8.044,7.135,7.754,10892070.17000002
2025-01-04 01:00:00,7.753,7.882,7.604,7.677,5399719.09
2025-01-05 01:00:00,7.678,7.735,7.46,7.671,3864962.36000001
2025-01-06 01:00:00,7.672,7.988,7.54,7.768,7081416.98000002
2025-01-07 01:00:00,7.77,7.888,7.006,7.014,12003377.10999999
2025-01-08 01:00:00,7.013,7.136,6.421,6.76,12158592.88999999
2025-01-09 01:00:00,6.759,6.847,6.454,6.559,7236598.9
2025-01-10 01:00:00,6.558,6.81,6.482,6.732,6645927.74
2025-01-11 01:00:00,6.731,6.878,6.582,6.742,3109598.81
2025-01-12 01:00:00,6.741,6.817,6.542,6.632,2241615.84
2025-01-13 01:00:00,6.632,6.808,6.0,6.396,10199678.51
2025-01-14 01:00:00,6.397,6.69,6.367,6.665,5174378.72
2025-01-15 01:00:00,6.668,7.196,6.558,7.165,9177823.37999999
2025-01-16 01:00:00,7.166,7.393,6.847,7.15,10781374.01999998
2025-01-17 01:00:00,7.154,7.6,7.152,7.503,8017976.75000001
2025-01-18 01:00:00,7.504,7.589,6.839,7.043,8528830.03000001
2025-01-19 01:00:00,7.043,7.237,6.11,6.247,18463335.52999999
2025-01-20 01:00:00,6.246,7.109,6.054,6.381,21982145.76000002
2025-01-21 01:00:00,6.381,6.845,6.155,6.622,8255422.94
2025-01-22 01:00:00,6.623,6.696,6.412,6.447,4674155.01
2025-01-23 01:00:00,6.447,6.503,6.191,6.351,6958597.48
2025-01-24 01:00:00,6.351,6.546,6.203,6.32,4639656.86
2025-01-25 01:00:00,6.319,6.41,6.246,6.323,3418652.68999999
2025-01-26 01:00:00,6.323,6.47,6.166,6.177,3801099.68
2025-01-27 01:00:00,6.176,6.212,5.485,5.953,12932411.14999998
2025-01-28 01:00:00,5.953,6.037,5.6,5.649,5048053.65
2025-01-29 01:00:00,5.648,5.881,5.544,5.768,6047240.34999999
2025-01-30 01:00:00,5.767,6.257,5.722,6.125,5322849.22
2025-01-31 01:00:00,6.125,6.499,6.029,6.321,8668790.29
2025-02-01 01:00:00,6.322,6.492,5.861,5.905,6999151.58000001
2025-02-02 01:00:00,5.906,6.048,4.863,5.153,17423977.29
2025-02-03 01:00:00,5.155,5.28,3.78,5.176,44336682.04999997
2025-02-04 01:00:00,5.177,5.229,4.581,4.742,16164176.0
2025-02-05 01:00:00,4.743,4.865,4.628,4.689,6698304.03000001
2025-02-06 01:00:00,4.689,4.838,4.441,4.49,6626961.01999999
2025-02-07 01:00:00,4.49,4.938,4.459,4.593,9796463.72
2025-02-08 01:00:00,4.594,4.765,4.499,4.745,4650038.29
2025-02-09 01:00:00,4.745,4.878,4.511,4.762,7039250.68
2025-02-10 01:00:00,4.763,4.92,4.608,4.845,7083744.38999999
2025-02-11 01:00:00,4.846,5.21,4.749,4.809,9692338.56
2025-02-12 01:00:00,4.809,5.332,4.752,5.255,13066581.47
