date,open,high,low,close,volume
2023-01-01 01:00:00,0.2458,0.25,0.2434,0.2499,49487029.49999997
2023-01-02 01:00:00,0.2499,0.2565,0.2466,0.2538,75458284.6
2023-01-03 01:00:00,0.2538,0.2555,0.2502,0.2529,71671057.09999993
2023-01-04 01:00:00,0.2529,0.2708,0.2518,0.2678,148810996.50000003
2023-01-05 01:00:00,0.2678,0.2713,0.2633,0.2692,81943632.6000001
2023-01-06 01:00:00,0.2692,0.2798,0.2671,0.2786,171198727.5999997
2023-01-07 01:00:00,0.2785,0.2806,0.2723,0.2768,72623368.19999994
2023-01-08 01:00:00,0.2768,0.299,0.2742,0.2974,196047722.80000022
2023-01-09 01:00:00,0.2975,0.346,0.2955,0.3168,405177005.9000002
2023-01-10 01:00:00,0.3168,0.3253,0.3063,0.3222,184082448.09999993
2023-01-11 01:00:00,0.3222,0.3235,0.3075,0.323,144048586.49999985
2023-01-12 01:00:00,0.323,0.3351,0.3154,0.3293,248440812.4999999
2023-01-13 01:00:00,0.3293,0.3509,0.3237,0.3456,150546494.00000012
2023-01-14 01:00:00,0.3455,0.3697,0.332,0.3525,288977177.5000004
2023-01-15 01:00:00,0.3526,0.3539,0.3385,0.3507,132983094.29999985
2023-01-16 01:00:00,0.3508,0.364,0.3376,0.3504,156864828.5000004
2023-01-17 01:00:00,0.3505,0.3576,0.343,0.3455,101591352.19999997
2023-01-18 01:00:00,0.3455,0.3555,0.3237,0.3264,170018857.1999996
2023-01-19 01:00:00,0.3264,0.343,0.3255,0.3379,80228314.69999991
2023-01-20 01:00:00,0.338,0.3657,0.3336,0.3652,130767450.60000001
2023-01-21 01:00:00,0.3651,0.3807,0.3569,0.3687,228951787.0000002
2023-01-22 01:00:00,0.3686,0.3872,0.3629,0.3764,205382043.99999976
2023-01-23 01:00:00,0.3764,0.3836,0.3687,0.375,168920181.80000037
2023-01-24 01:00:00,0.375,0.383,0.3552,0.3587,111749419.49999987
2023-01-25 01:00:00,0.3588,0.3797,0.3469,0.3732,125501560.19999997
2023-01-26 01:00:00,0.3733,0.3892,0.3711,0.3796,152020632.10000038
2023-01-27 01:00:00,0.3796,0.391,0.3678,0.3898,112713613.30000006
2023-01-28 01:00:00,0.3898,0.398,0.378,0.3819,119208593.19999981
2023-01-29 01:00:00,0.3818,0.3991,0.3768,0.3975,102929204.60000028
2023-01-30 01:00:00,0.3976,0.3982,0.3652,0.3725,134336664.99999988
2023-01-31 01:00:00,0.3725,0.3998,0.3681,0.3902,156301182.99999988
2023-02-01 01:00:00,0.3902,0.4018,0.371,0.397,162998963.89999998
2023-02-02 01:00:00,0.397,0.4136,0.3921,0.3981,179215658.2999996
2023-02-03 01:00:00,0.3981,0.407,0.3944,0.4038,112231580.70000018
2023-02-04 01:00:00,0.4037,0.4055,0.3975,0.3994,69665960.99999982
2023-02-05 01:00:00,0.3993,0.4019,0.3821,0.3923,104454045.9999999
2023-02-06 01:00:00,0.3923,0.4033,0.3795,0.3823,110247851.90000007
2023-02-07 01:00:00,0.3823,0.3998,0.3814,0.3989,107246776.8000001
2023-02-08 01:00:00,0.3989,0.4035,0.3853,0.3942,92872527.40000014
2023-02-09 01:00:00,0.3942,0.3957,0.3543,0.3622,151503834.4
2023-02-10 01:00:00,0.3622,0.3656,0.3534,0.3581,104289819.10000004
2023-02-11 01:00:00,0.358,0.3702,0.3567,0.3684,55904954.89999998
2023-02-12 01:00:00,0.3685,0.3738,0.3596,0.3641,57416092.20000003
2023-02-13 01:00:00,0.3641,0.3657,0.345,0.3593,114427322.00000009
2023-02-14 01:00:00,0.3593,0.3931,0.3545,0.3867,156990175.89999986
2023-02-15 01:00:00,0.3868,0.42,0.3819,0.419,151591225.29999995
2023-02-16 01:00:00,0.419,0.4213,0.3862,0.3874,174768993.9999998
2023-02-17 01:00:00,0.3874,0.4098,0.3854,0.4033,123524213.59999998
