date,open,high,low,close,volume
2023-01-01 01:00:00,52.0,52.4,51.1,52.2,37387.113
2023-01-02 01:00:00,52.2,54.1,51.3,53.0,77655.562
2023-01-03 01:00:00,52.9,53.6,52.1,53.0,44009.777
2023-01-04 01:00:00,53.1,58.1,52.6,56.9,190267.266
2023-01-05 01:00:00,56.8,57.0,54.9,55.4,77565.32
2023-01-06 01:00:00,55.4,56.8,54.0,56.4,81416.289
2023-01-07 01:00:00,56.4,56.9,55.7,56.0,61934.253
2023-01-08 01:00:00,56.0,59.7,55.3,59.3,129194.411
2023-01-09 01:00:00,59.3,63.1,59.0,61.1,200379.193
2023-01-10 01:00:00,61.2,62.9,59.6,61.9,113253.41
2023-01-11 01:00:00,61.9,64.7,59.9,64.2,88200.147
2023-01-12 01:00:00,64.1,68.6,63.4,67.8,280684.821
2023-01-13 01:00:00,67.7,73.2,66.7,71.1,194695.408
2023-01-14 01:00:00,71.2,81.2,71.1,75.9,388827.373
2023-01-15 01:00:00,75.8,82.9,72.8,79.2,361135.537
2023-01-16 01:00:00,79.3,82.6,76.4,80.5,245922.65
2023-01-17 01:00:00,80.6,91.3,78.5,85.6,418816.125
2023-01-18 01:00:00,85.6,90.7,77.3,81.9,395265.09
2023-01-19 01:00:00,82.0,83.7,77.7,81.3,176307.813
2023-01-20 01:00:00,81.2,88.5,79.7,87.6,176045.827
2023-01-21 01:00:00,87.6,89.2,84.1,84.5,167010.363
2023-01-22 01:00:00,84.5,90.2,83.4,85.4,194156.227
2023-01-23 01:00:00,85.3,90.2,84.5,86.6,165259.17
2023-01-24 01:00:00,86.6,88.5,78.8,79.9,188893.013
2023-01-25 01:00:00,79.9,87.6,78.1,85.7,187792.423
2023-01-26 01:00:00,85.7,90.7,85.1,88.8,226599.703
2023-01-27 01:00:00,88.8,89.7,85.2,87.2,154505.255
2023-01-28 01:00:00,87.3,88.2,83.2,84.3,133647.248
2023-01-29 01:00:00,84.2,88.5,83.4,87.6,121578.55
2023-01-30 01:00:00,87.7,88.4,79.2,81.2,150957.555
2023-01-31 01:00:00,81.2,83.8,80.2,82.9,100339.276
2023-02-01 01:00:00,82.9,88.5,80.3,88.3,163145.606
2023-02-02 01:00:00,88.4,93.4,87.7,88.3,272475.043
2023-02-03 01:00:00,88.3,94.5,86.9,91.2,258109.593
2023-02-04 01:00:00,91.1,92.1,88.1,89.0,136311.893
2023-02-05 01:00:00,89.0,89.2,83.3,85.7,114957.493
2023-02-06 01:00:00,85.6,87.8,83.3,84.1,62131.202
2023-02-07 01:00:00,84.1,89.3,84.0,88.7,96193.123
2023-02-08 01:00:00,88.7,90.2,84.5,87.0,111547.485
2023-02-09 01:00:00,87.0,91.0,76.2,77.8,394508.623
2023-02-10 01:00:00,77.8,80.6,76.6,78.7,167721.29
2023-02-11 01:00:00,78.7,79.5,77.7,79.4,49325.62
2023-02-12 01:00:00,79.5,80.5,76.2,77.4,55876.815
2023-02-13 01:00:00,77.4,84.1,73.6,82.4,458619.614
2023-02-14 01:00:00,82.5,83.8,78.5,83.1,301472.95
2023-02-15 01:00:00,83.1,89.6,82.2,89.5,180128.984
2023-02-16 01:00:00,89.5,90.6,83.7,84.0,216360.631
2023-02-17 01:00:00,84.1,88.4,83.4,86.4,229219.52
2023-02-18 01:00:00,86.4,91.4,86.4,91.0,136386.179
2023-02-19 01:00:00,91.0,95.5,89.1,90.1,213443.985
2023-02-20 01:00:00,90.0,93.1,86.9,92.0,143575.399
2023-02-21 01:00:00,92.0,92.8,85.6,87.8,144322.358
2023-02-22 01:00:00,87.8,87.8,82.0,85.0,115832.835
2023-02-23 01:00:00,85.1,87.6,83.8,85.6,94497.296
2023-02-24 01:00:00,85.6,86.8,79.9,81.6,149888.723
2023-02-25 01:00:00,81.6,83.7,77.2,80.0,85875.664
2023-02-26 01:00:00,80.0,82.5,79.7,82.2,48003.557
2023-02-27 01:00:00,82.3,83.6,79.5,80.2,57737.945
2023-02-28 01:00:00,80.2,80.3,76.7,77.7,76616.713
2023-03-01 01:00:00,77.6,83.2,77.0,82.9,124370.309
2023-03-02 01:00:00,82.9,83.1,78.3,79.9,71442.287
2023-03-03 01:00:00,80.0,80.0,73.0,76.8,112005.329
2023-03-04 01:00:00,76.8,77.5,73.8,75.3,45537.413
2023-03-05 01:00:00,75.3,77.2,74.7,75.0,40751.025
2023-03-06 01:00:00,75.1,77.5,74.2,76.6,49930.427
2023-03-07 01:00:00,76.6,77.8,73.7,75.2,78279.43
2023-03-08 01:00:00,75.2,75.5,71.1,71.7,72326.748
2023-03-09 01:00:00,71.7,74.0,67.0,68.6,106937.575
2023-03-10 01:00:00,68.7,68.8,64.6,68.3,97267.74
