date,open,high,low,close,volume
2021-02-14 01:00:00,494.387,509.298,460.28,468.525,137670.976
2021-02-15 01:00:00,468.43,497.0,380.0,455.666,350475.311
2021-02-16 01:00:00,455.766,478.875,421.179,432.364,247618.869
2021-02-17 01:00:00,432.241,469.0,400.0,451.333,273023.564
2021-02-18 01:00:00,451.835,480.0,434.411,441.503,216935.092
2021-02-19 01:00:00,441.258,452.03,405.213,419.604,279827.887
2021-02-20 01:00:00,419.588,498.0,405.6,441.108,633739.333
2021-02-21 01:00:00,441.055,454.824,424.006,436.965,220938.515
2021-02-22 01:00:00,436.986,448.611,347.907,400.0,395236.164
2021-02-23 01:00:00,400.35,404.052,284.627,364.258,585503.053
2021-02-24 01:00:00,364.031,406.0,341.527,367.503,318085.953
2021-02-25 01:00:00,367.086,388.688,334.36,338.563,187331.603
2021-02-26 01:00:00,339.299,353.668,302.549,323.268,240591.262
2021-02-27 01:00:00,323.182,349.998,322.787,332.824,168185.168
2021-02-28 01:00:00,332.808,365.98,300.14,354.155,256054.901
2021-03-01 01:00:00,353.791,389.255,350.134,385.952,292520.864
2021-03-02 01:00:00,385.545,417.791,376.122,390.946,310310.832
2021-03-03 01:00:00,390.444,419.0,383.734,395.501,170228.244
2021-03-04 01:00:00,395.502,410.998,365.691,373.733,178117.315
2021-03-05 01:00:00,374.251,377.275,339.99,367.005,153319.431
2021-03-06 01:00:00,366.658,391.181,351.664,387.934,99771.411
2021-03-07 01:00:00,387.935,419.96,384.012,414.89,289459.799
2021-03-08 01:00:00,415.033,437.315,391.799,437.282,284970.59
2021-03-09 01:00:00,437.212,450.0,416.833,444.088,201434.136
2021-03-10 01:00:00,444.059,459.0,399.042,406.848,235481.224
2021-03-11 01:00:00,406.252,416.0,387.428,404.846,169000.497
2021-03-12 01:00:00,405.142,408.0,360.0,373.763,209409.999
2021-03-13 01:00:00,373.694,428.0,359.674,413.759,233935.375
2021-03-14 01:00:00,413.948,418.427,376.866,380.669,169324.948
