date,open,high,low,close,volume
2023-01-01 01:00:00,8.08e-06,8.14e-06,8e-06,8.12e-06,850264215933.0
2023-01-02 01:00:00,8.13e-06,8.26e-06,8.02e-06,8.19e-06,1842195745663.0
2023-01-03 01:00:00,8.19e-06,8.22e-06,8.05e-06,8.15e-06,1593513507866.0
2023-01-04 01:00:00,8.15e-06,8.52e-06,8.12e-06,8.37e-06,3191154803700.0
2023-01-05 01:00:00,8.37e-06,8.81e-06,8.28e-06,8.36e-06,5495063230679.0
2023-01-06 01:00:00,8.37e-06,8.48e-06,8.17e-06,8.44e-06,3022274285237.0
2023-01-07 01:00:00,8.44e-06,8.71e-06,8.37e-06,8.42e-06,2662676202485.0
2023-01-08 01:00:00,8.42e-06,8.69e-06,8.32e-06,8.65e-06,2403138475164.0
2023-01-09 01:00:00,8.65e-06,9.2e-06,8.57e-06,8.68e-06,8368683735766.0
2023-01-10 01:00:00,8.68e-06,9.67e-06,8.54e-06,9.27e-06,10594723479885.0
2023-01-11 01:00:00,9.26e-06,9.27e-06,8.65e-06,9.13e-06,6710235345405.0
2023-01-12 01:00:00,9.12e-06,9.68e-06,8.82e-06,9.47e-06,10506468240759.0
2023-01-13 01:00:00,9.46e-06,1.028e-05,9.28e-06,1.02e-05,8242207917576.0
2023-01-14 01:00:00,1.021e-05,1.111e-05,9.57e-06,1.039e-05,13564738663392.0
2023-01-15 01:00:00,1.039e-05,1.1e-05,9.8e-06,1.067e-05,8817892292444.0
2023-01-16 01:00:00,1.066e-05,1.104e-05,1.007e-05,1.052e-05,8809341795813.0
2023-01-17 01:00:00,1.053e-05,1.082e-05,1.025e-05,1.055e-05,5203544145807.0
2023-01-18 01:00:00,1.055e-05,1.294e-05,1.052e-05,1.117e-05,27823878865954.0
2023-01-19 01:00:00,1.116e-05,1.179e-05,1.08e-05,1.154e-05,6554730277087.0
2023-01-20 01:00:00,1.155e-05,1.242e-05,1.133e-05,1.223e-05,6899670807824.0
2023-01-21 01:00:00,1.222e-05,1.25e-05,1.175e-05,1.186e-05,9381367606181.0
2023-01-22 01:00:00,1.186e-05,1.25e-05,1.154e-05,1.2e-05,6678837841496.0
2023-01-23 01:00:00,1.2e-05,1.22e-05,1.179e-05,1.199e-05,4367299904189.0
2023-01-24 01:00:00,1.2e-05,1.22e-05,1.086e-05,1.119e-05,4793419300825.0
2023-01-25 01:00:00,1.119e-05,1.195e-05,1.086e-05,1.163e-05,5045479119632.0
2023-01-26 01:00:00,1.163e-05,1.188e-05,1.137e-05,1.162e-05,3865437893738.0
2023-01-27 01:00:00,1.161e-05,1.188e-05,1.129e-05,1.173e-05,3346059970612.0
2023-01-28 01:00:00,1.172e-05,1.233e-05,1.164e-05,1.182e-05,5505268916030.0
2023-01-29 01:00:00,1.182e-05,1.216e-05,1.174e-05,1.207e-05,3588312469873.0
2023-01-30 01:00:00,1.207e-05,1.214e-05,1.112e-05,1.152e-05,5776776793687.0
2023-01-31 01:00:00,1.151e-05,1.199e-05,1.144e-05,1.181e-05,5739290681343.0
2023-02-01 01:00:00,1.182e-05,1.206e-05,1.13e-05,1.197e-05,5992313769482.0
2023-02-02 01:00:00,1.197e-05,1.3e-05,1.191e-05,1.214e-05,10259662694850.0
2023-02-03 01:00:00,1.213e-05,1.292e-05,1.205e-05,1.272e-05,7741777788731.0
2023-02-04 01:00:00,1.272e-05,1.575e-05,1.27e-05,1.47e-05,26841973406474.0
2023-02-05 01:00:00,1.469e-05,1.535e-05,1.393e-05,1.43e-05,14397063826582.0
2023-02-06 01:00:00,1.43e-05,1.484e-05,1.392e-05,1.407e-05,8897786131595.0
2023-02-07 01:00:00,1.408e-05,1.449e-05,1.375e-05,1.439e-05,7914133180711.0
2023-02-08 01:00:00,1.438e-05,1.455e-05,1.35e-05,1.375e-05,5469195927793.0
2023-02-09 01:00:00,1.375e-05,1.384e-05,1.17e-05,1.216e-05,8714983651395.0
2023-02-10 01:00:00,1.215e-05,1.332e-05,1.209e-05,1.287e-05,8268457571988.0
2023-02-11 01:00:00,1.287e-05,1.31e-05,1.238e-05,1.291e-05,5125614549958.0
2023-02-12 01:00:00,1.29e-05,1.353e-05,1.256e-05,1.283e-05,5772074649818.0
2023-02-13 01:00:00,1.283e-05,1.307e-05,1.198e-05,1.247e-05,6009240295067.0
2023-02-14 01:00:00,1.247e-05,1.284e-05,1.205e-05,1.275e-05,5073571949258.0
2023-02-15 01:00:00,1.276e-05,1.388e-05,1.254e-05,1.375e-05,6871185737375.0
2023-02-16 01:00:00,1.376e-05,1.399e-05,1.256e-05,1.269e-05,9995174670814.0
2023-02-17 01:00:00,1.27e-05,1.336e-05,1.262e-05,1.317e-05,5633158730707.0
2023-02-18 01:00:00,1.316e-05,1.341e-05,1.303e-05,1.319e-05,3424535007822.0
2023-02-19 01:00:00,1.319e-05,1.4e-05,1.309e-05,1.332e-05,7592815706888.0
2023-02-20 01:00:00,1.333e-05,1.378e-05,1.302e-05,1.349e-05,4585094772086.0
2023-02-21 01:00:00,1.35e-05,1.362e-05,1.283e-05,1.306e-05,5162486302802.0
2023-02-22 01:00:00,1.306e-05,1.317e-05,1.253e-05,1.315e-05,4225485969371.0
2023-02-23 01:00:00,1.315e-05,1.367e-05,1.293e-05,1.313e-05,5938818385848.0
2023-02-24 01:00:00,1.314e-05,1.323e-05,1.22e-05,1.255e-05,4159633847625.0
2023-02-25 01:00:00,1.254e-05,1.264e-05,1.198e-05,1.24e-05,3029961762074.0
